ClosedDate,SoldPr,Type,Zip,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces,houseEra
9/21/2020,179374.99999999997,Condo,60062,1260,5,2,0,No,2.0,0,1.0,19A
12/4/2019,475407.81249999994,SFH,60053,4000,12,3,1,Yes,5.0,0,2.5,19A
6/14/2019,157593.75,Condo,60077,1400,6,2,0,No,2.0,0,0.0,19A
7/12/2019,998093.7499999999,SFH,60202,3094,8,3,1,No,4.0,0,1.0,Pre1900
10/27/2020,553500.0,Townhouse,60201,1758,7,2,1,No,3.0,0,2.0,19A
6/26/2019,252149.99999999997,Condo,60076,1900,6,2,0,No,2.0,0,1.0,19A
11/19/2018,274607.1093749999,SFH,60076,1300,9,3,0,Yes,4.0,0,2.0,19A
5/3/2019,264232.1875,Condo,60201,925,5,1,0,No,1.0,0,2.0,20A
5/29/2020,638575.0,SFH,60062,2644,7,3,1,No,4.0,0,2.0,19A
6/17/2020,891749.9999999999,SFH,60201,3600,10,2,1,No,4.0,0,3.0,Pre1900
6/15/2018,441525.1562499999,SFH,60062,1892,9,3,0,No,5.0,0,2.0,19A
3/6/2020,251124.99999999997,SFH,60002,2244,9,3,0,Yes,4.0,0,2.0,19A
5/14/2018,495369.6874999998,SFH,60062,2000,8,2,1,No,4.0,0,2.0,19A
5/21/2019,556831.25,SFH,60076,3060,12,4,1,Yes,5.0,0,2.0,19A
9/16/2020,241899.99999999997,Condo,60201,925,5,1,0,No,1.0,0,1.0,20A
3/18/2020,1024999.9999999999,SFH,60201,5749,16,4,1,No,6.0,0,3.0,19B
8/8/2018,689209.9999999998,SFH,60062,2700,10,2,1,Yes,4.0,1,2.0,19A
4/23/2020,415124.99999999994,Townhouse,60026,2517,9,2,1,No,3.0,0,2.0,19A
3/16/2020,319800.0,SFH,60076,1548,7,2,0,No,3.0,0,1.0,19A
7/23/2019,349332.8125,SFH,60025,1455,7,2,0,No,3.0,0,1.0,19A
5/15/2019,341453.125,SFH,60077,2187,7,2,1,No,3.0,0,1.0,19A
9/28/2018,935279.5078124997,SFH,60062,3100,10,2,2,No,5.0,0,2.0,19A
1/31/2020,328000.0,SFH,60062,1231,7,2,0,Yes,3.0,0,1.0,19A
4/23/2019,357212.5,Duplex,60201,1600,6,1,1,No,2.0,0,1.0,19A
7/31/2020,343374.99999999994,SFH,60202,1200,7,1,1,Yes,3.0,0,0.0,19A
7/20/2020,307705.0,SFH,60025,1585,7,1,1,No,3.0,0,2.0,19A
9/26/2019,199513.68749999997,SFH,60002,2000,9,2,0,Yes,4.0,0,2.5,19A
8/11/2020,354649.99999999994,SFH,60076,1588,9,3,0,Yes,3.0,1,0.0,19A
11/4/2020,638062.5,Duplex,60062,2850,8,2,1,No,3.0,0,2.0,recent
12/2/2019,535818.75,SFH,60202,1635,8,2,0,No,4.0,0,2.5,19B
11/12/2020,328000.0,SFH,60077,2000,7,2,0,Yes,3.0,0,2.0,19A
10/12/2020,497124.99999999994,Townhouse,60053,2850,8,3,1,Yes,4.0,0,2.0,recent
12/16/2020,684187.4999999999,SFH,60201,2105,9,2,1,Yes,3.0,0,3.0,19B
11/22/2019,231137.49999999997,Condo,60077,1600,5,2,0,No,2.0,0,1.0,19A
2/15/2019,991789.9999999999,SFH,60026,3342,14,4,0,Yes,5.0,1,3.0,20A
9/11/2020,210124.99999999997,SFH,60025,1300,6,1,1,No,3.0,0,1.0,19A
3/6/2020,230624.99999999997,Condo,60062,1880,6,2,0,No,2.0,0,1.0,19A
